step,Monolithic,Static2Layer,ARH,Dissonance
0,91.5,93.10000000000001,93.0,0.0
1,91.5,93.10000000000001,93.0,0.0
2,91.5,93.10000000000001,93.0,0.0
3,91.5,93.10000000000001,93.0,0.0
4,91.5,93.10000000000001,93.0,0.0
5,91.5,93.10000000000001,93.0,0.0
6,91.5,93.10000000000001,93.0,0.0
7,91.5,93.10000000000001,93.0,0.0
8,91.5,93.10000000000001,93.0,0.0
9,91.5,93.10000000000001,93.0,0.0
10,91.5,93.10000000000001,93.0,0.0
11,91.5,93.10000000000001,93.0,0.0
12,91.5,93.10000000000001,93.0,0.0
13,91.5,93.10000000000001,93.0,0.0
14,91.5,93.10000000000001,93.0,0.0
15,91.5,93.10000000000001,93.0,0.0
16,91.5,93.10000000000001,93.0,0.0
17,91.5,93.10000000000001,93.0,0.0
18,91.5,93.10000000000001,93.0,0.0
19,91.5,93.10000000000001,93.0,0.0
20,91.5,93.10000000000001,93.0,0.0
21,91.5,93.10000000000001,93.0,0.0
22,91.5,93.10000000000001,93.0,0.0
23,91.5,93.10000000000001,93.0,0.0
24,91.5,93.10000000000001,93.0,0.0
25,91.5,93.10000000000001,93.0,0.0
26,91.5,93.10000000000001,93.0,0.0
27,91.5,93.10000000000001,93.0,0.0
28,91.5,93.10000000000001,93.0,0.0
29,91.5,93.10000000000001,93.0,0.0
30,91.5,93.10000000000001,93.0,0.0
31,91.5,93.10000000000001,93.0,0.0
32,91.5,93.10000000000001,93.0,0.0
33,91.5,93.10000000000001,93.0,0.0
34,91.5,93.10000000000001,93.0,0.0
35,91.5,93.10000000000001,93.0,0.0
36,91.5,93.10000000000001,93.0,0.0
37,91.5,93.10000000000001,93.0,0.0
38,91.5,93.10000000000001,93.0,0.0
39,91.5,93.10000000000001,93.0,0.0
40,91.5,93.10000000000001,93.0,0.0
41,91.5,93.10000000000001,93.0,0.0
42,91.5,93.10000000000001,93.0,0.0
43,91.5,93.10000000000001,93.0,0.0
44,91.5,93.10000000000001,93.0,0.0
45,91.5,93.10000000000001,93.0,0.0
46,91.5,93.10000000000001,93.0,0.0
47,91.5,93.10000000000001,93.0,0.0
48,91.5,93.10000000000001,93.0,0.0
49,91.5,93.10000000000001,93.0,0.0
50,91.5,93.10000000000001,93.0,0.0
51,91.5,93.10000000000001,93.0,0.0
52,91.5,93.10000000000001,93.0,0.0
53,91.5,93.10000000000001,93.0,0.0
54,91.5,93.10000000000001,93.0,0.0
55,91.5,93.10000000000001,93.0,0.0
56,91.5,93.10000000000001,93.0,0.0
57,91.5,93.10000000000001,93.0,0.0
58,91.5,93.10000000000001,93.0,0.0
59,91.5,93.10000000000001,93.0,0.0
60,91.5,93.10000000000001,93.0,0.0
61,91.5,93.10000000000001,93.0,0.0
62,91.5,93.10000000000001,93.0,0.0
63,91.5,93.10000000000001,93.0,0.0
64,91.5,93.10000000000001,93.0,0.0
65,91.5,93.10000000000001,93.0,0.0
66,91.5,93.10000000000001,93.0,0.0
67,91.5,93.10000000000001,93.0,0.0
68,91.5,93.10000000000001,93.0,0.0
69,91.5,93.10000000000001,93.0,0.0
70,91.5,93.10000000000001,93.0,0.0
71,91.5,93.10000000000001,93.0,0.0
72,91.5,93.10000000000001,93.0,0.0
73,91.5,93.10000000000001,93.0,0.0
74,91.5,93.10000000000001,93.0,0.0
75,91.5,93.10000000000001,93.0,0.0
76,91.5,93.10000000000001,93.0,0.0
77,91.5,93.10000000000001,93.0,0.0
78,91.5,93.10000000000001,93.0,0.0
79,91.5,93.10000000000001,93.0,0.0
80,91.5,93.10000000000001,93.0,0.0
81,91.5,93.10000000000001,93.0,0.0
82,91.5,93.10000000000001,93.0,0.0
83,91.5,93.10000000000001,93.0,0.0
84,91.5,93.10000000000001,93.0,0.0
85,91.5,93.10000000000001,93.0,0.0
86,91.5,93.10000000000001,93.0,0.0
87,91.5,93.10000000000001,93.0,0.0
88,91.5,93.10000000000001,93.0,0.0
89,91.5,93.10000000000001,93.0,0.0
90,91.5,93.10000000000001,93.0,0.0
91,91.5,93.10000000000001,93.0,0.0
92,91.5,93.10000000000001,93.0,0.0
93,91.5,93.10000000000001,93.0,0.0
94,91.5,93.10000000000001,93.0,0.0
95,91.5,93.10000000000001,93.0,0.0
96,91.5,93.10000000000001,93.0,0.0
97,91.5,93.10000000000001,93.0,0.0
98,91.5,93.10000000000001,93.0,0.0
99,91.5,93.10000000000001,93.0,0.0
100,91.5,93.10000000000001,93.0,0.0
101,91.5,93.10000000000001,93.0,0.0
102,91.5,93.10000000000001,93.0,0.0
103,91.5,93.10000000000001,93.0,0.0
104,91.5,93.10000000000001,93.0,0.0
105,91.5,93.10000000000001,93.0,0.0
106,91.5,93.10000000000001,93.0,0.0
107,91.5,93.10000000000001,93.0,0.0
108,91.5,93.10000000000001,93.0,0.0
109,91.5,93.10000000000001,93.0,0.0
110,91.5,93.10000000000001,93.0,0.0
111,91.5,93.10000000000001,93.0,0.0
112,91.5,93.10000000000001,93.0,0.0
113,91.5,93.10000000000001,93.0,0.0
114,91.5,93.10000000000001,93.0,0.0
115,91.5,93.10000000000001,93.0,0.0
116,91.5,93.10000000000001,93.0,0.0
117,91.5,93.10000000000001,93.0,0.0
118,91.5,93.10000000000001,93.0,0.0
119,91.5,93.10000000000001,93.0,0.0
120,91.5,93.10000000000001,93.0,0.0
121,91.5,93.10000000000001,93.0,0.0
122,91.5,93.10000000000001,93.0,0.0
123,91.5,93.10000000000001,93.0,0.0
124,91.5,93.10000000000001,93.0,0.0
125,91.5,93.10000000000001,93.0,0.0
126,91.5,93.10000000000001,93.0,0.0
127,91.5,93.10000000000001,93.0,0.0
128,91.5,93.10000000000001,93.0,0.0
129,91.5,93.10000000000001,93.0,0.0
130,91.5,93.10000000000001,93.0,0.0
131,91.5,93.10000000000001,93.0,0.0
132,91.5,93.10000000000001,93.0,0.0
133,91.5,93.10000000000001,93.0,0.0
134,91.5,93.10000000000001,93.0,0.0
135,91.5,93.10000000000001,93.0,0.0
136,91.5,93.10000000000001,93.0,0.0
137,91.5,93.10000000000001,93.0,0.0
138,91.5,93.10000000000001,93.0,0.0
139,91.5,93.10000000000001,93.0,0.0
140,91.5,93.10000000000001,93.0,0.0
141,91.5,93.10000000000001,93.0,0.0
142,91.5,93.10000000000001,93.0,0.0
143,91.5,93.10000000000001,93.0,0.0
144,91.5,93.10000000000001,93.0,0.0
145,91.5,93.10000000000001,93.0,0.0
146,91.5,93.10000000000001,93.0,0.0
147,91.5,93.10000000000001,93.0,0.0
148,91.5,93.10000000000001,93.0,0.0
149,91.5,93.10000000000001,93.0,0.0
150,91.5,93.10000000000001,93.0,0.0
151,91.5,93.10000000000001,93.0,0.0
152,91.5,93.10000000000001,93.0,0.0
153,91.5,93.10000000000001,93.0,0.0
154,91.5,93.10000000000001,93.0,0.0
155,91.5,93.10000000000001,93.0,0.0
156,91.5,93.10000000000001,93.0,0.0
157,91.5,93.10000000000001,93.0,0.0
158,91.5,93.10000000000001,93.0,0.0
159,91.5,93.10000000000001,93.0,0.0
160,91.5,93.10000000000001,93.0,0.0
161,91.5,93.10000000000001,93.0,0.0
162,91.5,93.10000000000001,93.0,0.0
163,91.5,93.10000000000001,93.0,0.0
164,91.5,93.10000000000001,93.0,0.0
165,91.5,93.10000000000001,93.0,0.0
166,91.5,93.10000000000001,93.0,0.0
167,91.5,93.10000000000001,93.0,0.0
168,91.5,93.10000000000001,93.0,0.0
169,91.5,93.10000000000001,93.0,0.0
170,91.5,93.10000000000001,93.0,0.0
171,91.5,93.10000000000001,93.0,0.0
172,91.5,93.10000000000001,93.0,0.0
173,91.5,93.10000000000001,93.0,0.0
174,91.5,93.10000000000001,93.0,0.0
175,91.5,93.10000000000001,93.0,0.0
176,91.5,93.10000000000001,93.0,0.0
177,91.5,93.10000000000001,93.0,0.0
178,91.5,93.10000000000001,93.0,0.0
179,91.5,93.10000000000001,93.0,0.0
180,91.5,93.10000000000001,93.0,0.0
