idx,true_label,samples_used_anytime,set_size_anytime,correct_anytime,proxy_prob_anytime
0,0,1,1,1,1.0
1,0,1,1,1,1.0
2,5,1,1,1,1.0
3,6,1,1,1,1.0
4,0,1,1,1,1.0
5,5,1,1,1,1.0
6,4,1,1,1,1.0
7,7,1,1,1,1.0
8,6,1,1,0,1.0
9,5,1,1,0,1.0
10,5,1,1,0,1.0
11,6,1,1,0,1.0
12,3,1,1,1,1.0
13,0,1,1,1,1.0
14,3,1,1,1,1.0
15,1,1,1,1,1.0
16,3,1,1,1,1.0
17,2,1,1,1,1.0
18,5,1,1,1,1.0
19,6,1,1,0,1.0
20,4,1,1,1,1.0
21,5,1,1,1,1.0
22,1,1,1,1,1.0
23,0,1,1,0,1.0
24,1,1,1,1,1.0
25,3,1,1,0,1.0
26,2,1,1,1,1.0
27,1,1,1,1,1.0
28,7,1,1,1,1.0
29,7,1,1,1,1.0
30,5,1,1,1,1.0
31,0,1,1,0,1.0
32,5,1,1,0,1.0
33,0,1,1,1,1.0
34,3,1,1,1,1.0
35,1,1,1,1,1.0
36,4,1,1,1,1.0
37,2,1,1,0,1.0
38,3,1,1,1,1.0
39,0,1,1,0,1.0
40,2,1,1,1,1.0
41,1,1,1,1,1.0
42,4,1,1,1,1.0
43,0,1,1,0,1.0
44,1,1,1,1,1.0
45,0,1,1,1,1.0
46,7,1,1,1,1.0
47,7,1,1,1,1.0
48,7,1,1,1,1.0
49,7,1,1,1,1.0
50,2,1,1,1,1.0
51,7,1,1,1,1.0
52,6,1,1,1,1.0
53,6,1,1,1,1.0
54,6,1,1,1,1.0
55,0,1,1,0,1.0
56,1,1,1,1,1.0
57,1,1,1,1,1.0
58,7,1,1,1,1.0
59,1,1,1,0,1.0
60,4,1,1,0,1.0
61,3,1,1,1,1.0
62,6,1,1,0,1.0
63,6,1,1,1,1.0
64,2,1,1,0,1.0
65,4,1,1,0,1.0
66,5,1,1,1,1.0
67,0,1,1,0,1.0
68,1,1,1,1,1.0
69,7,1,1,1,1.0
70,7,1,1,1,1.0
71,6,1,1,1,1.0
72,2,1,1,1,1.0
73,4,1,1,0,1.0
74,6,1,1,0,1.0
75,4,1,1,1,1.0
76,4,1,1,1,1.0
77,3,1,1,1,1.0
78,3,1,1,1,1.0
79,4,1,1,1,1.0
80,1,1,1,0,1.0
81,7,1,1,0,1.0
82,1,1,1,1,1.0
83,2,1,1,1,1.0
84,2,1,1,1,1.0
85,0,1,1,0,1.0
