comparison metric tstat pvalue effectsize
P0-minus-vs-Nominal rmse 0.000000 1.00e+00 0.000000
P0-minus-vs-Nominal g2amp 3.660000 2.50e-04 0.730000
P0-plus-vs-Nominal rmse 0.000000 1.00e+00 0.000000
P0-plus-vs-Nominal g2amp 1.430000 1.54e-01 0.290000
weak-scramble-vs-Nominal rmse 0.000000 1.00e+00 0.000000
weak-scramble-vs-Nominal g2amp 2.060000 3.92e-02 0.410000
strong-eps-vs-Nominal rmse 0.000000 1.00e+00 0.000000
strong-eps-vs-Nominal g2amp 73.520000 0.00e+00 14.700000
gentle-eps-vs-Nominal rmse 0.000000 1.00e+00 0.000000
gentle-eps-vs-Nominal g2amp -20.160000 0.00e+00 -4.030000
