u frac_to_E
0 0.000000
1 0.003070
2 0.005669
3 0.007869
4 0.009732
5 0.011308
6 0.012642
7 0.013772
8 0.014728
9 0.015537
10 0.016222
11 0.016802
12 0.017293
13 0.017709
14 0.018061
15 0.018358
16 0.018610
17 0.018824
18 0.019004
19 0.019157
20 0.019287
21 0.019396
22 0.019489
23 0.019567
24 0.019634
25 0.019690
26 0.019738
27 0.019778
28 0.019812
29 0.019841
30 0.019865
31 0.019886
32 0.019903
33 0.019918
34 0.019931
35 0.019941
36 0.019950
37 0.019958
38 0.019964
39 0.019970
40 0.019975
41 0.019978
42 0.019982
43 0.019985
44 0.019987
45 0.019989
46 0.019991
47 0.019992
48 0.019993
49 0.019994
50 0.019995
51 0.019996
52 0.019997
53 0.019997
54 0.019998
55 0.019998
56 0.019998
57 0.019999
58 0.019999
59 0.019999
60 0.019999
61 0.019999
62 0.019999
63 0.019999
64 0.020000
65 0.020000
66 0.020000
67 0.020000
68 0.020000
69 0.020000
70 0.020000
71 0.020000
72 0.020000
73 0.020000
74 0.020000
75 0.020000
76 0.020000
77 0.020000
78 0.020000
79 0.020000
80 0.020000
81 0.020000
82 0.020000
83 0.020000
84 0.020000
85 0.020000
86 0.020000
87 0.020000
88 0.020000
89 0.020000
90 0.020000
91 0.020000
92 0.020000
93 0.020000
94 0.020000
95 0.020000
96 0.020000
97 0.020000
98 0.020000
99 0.020000
100 0.020000
101 0.020000
102 0.020000
103 0.020000
104 0.020000
105 0.020000
106 0.020000
107 0.020000
108 0.020000
109 0.020000
110 0.020000
111 0.020000
112 0.020000
113 0.020000
114 0.020000
115 0.020000
116 0.020000
117 0.020000
118 0.020000
119 0.020000
120 0.020000
121 0.020000
122 0.020000
123 0.020000
124 0.020000
125 0.020000
126 0.020000
127 0.020000
128 0.020000
