t_ms h_imr h_echo
0.000000 0.001832 0.000000
0.100000 0.001512 0.000000
0.200000 5.891e-04 0.000000
0.300000 -6.010e-04 0.000000
0.400000 -0.001605 0.000000
0.500000 -0.002024 0.000000
0.600000 -0.001671 0.000000
0.700000 -6.510e-04 0.000000
0.800000 6.642e-04 0.000000
0.900000 0.001774 0.000000
1.000000 0.002237 0.000000
1.100000 0.001846 0.000000
1.200000 7.195e-04 0.000000
1.300000 -7.340e-04 0.000000
1.400000 -0.001961 0.000000
1.500000 -0.002472 0.000000
1.600000 -0.002041 0.000000
1.700000 -7.952e-04 0.000000
1.800000 8.112e-04 0.000000
1.900000 0.002167 0.000000
2.000000 0.002732 0.000000
2.100000 0.002255 0.000000
2.200000 8.788e-04 0.000000
2.300000 -8.966e-04 0.000000
2.400000 -0.002395 0.000000
2.500000 -0.003020 0.000000
2.600000 -0.002492 0.000000
2.700000 -9.712e-04 0.000000
2.800000 9.909e-04 0.000000
2.900000 0.002646 0.000000
3.000000 0.003337 0.000000
3.100000 0.002754 0.000000
3.200000 0.001073 0.000000
3.300000 -0.001095 0.000000
3.400000 -0.002925 0.000000
3.500000 -0.003688 0.000000
3.600000 -0.003044 0.000000
3.700000 -0.001186 0.000000
3.800000 0.001210 0.000000
3.900000 0.003232 0.000000
4.000000 0.004076 0.000000
4.100000 0.003364 0.000000
4.200000 0.001311 0.000000
4.300000 -0.001338 0.000000
4.400000 -0.003572 0.000000
4.500000 -0.004505 0.000000
4.600000 -0.003718 0.000000
4.700000 -0.001449 0.000000
4.800000 0.001478 0.000000
4.900000 0.003948 0.000000
5.000000 0.004979 0.000000
5.100000 0.004109 0.000000
5.200000 0.001601 0.000000
5.300000 -0.001634 0.000000
5.400000 -0.004363 0.000000
5.500000 -0.005502 0.000000
5.600000 -0.004541 0.000000
5.700000 -0.001770 0.000000
5.800000 0.001805 0.000000
5.900000 0.004822 0.000000
6.000000 0.006081 0.000000
6.100000 0.005019 0.000000
6.200000 0.001956 0.000000
6.300000 -0.001995 0.000000
6.400000 -0.005329 0.000000
6.500000 -0.006721 0.000000
6.600000 -0.005547 0.000000
6.700000 -0.002162 0.000000
6.800000 0.002205 0.000000
6.900000 0.005890 0.000000
7.000000 0.007427 0.000000
7.100000 0.006130 0.000000
7.200000 0.002389 0.000000
7.300000 -0.002437 0.000000
7.400000 -0.006509 0.000000
7.500000 -0.008208 0.000000
7.600000 -0.006775 0.000000
7.700000 -0.002640 0.000000
7.800000 0.002693 0.000000
7.900000 0.007194 0.000000
8.000000 0.009072 0.000000
8.100000 0.007487 0.000000
8.200000 0.002918 0.000000
8.300000 -0.002977 0.000000
8.400000 -0.007951 0.000000
8.500000 -0.010026 0.000000
8.600000 -0.008275 0.000000
8.700000 -0.003225 0.000000
8.800000 0.003290 0.000000
8.900000 0.008787 0.000000
9.000000 0.011080 0.000000
9.100000 0.009145 0.000000
9.200000 0.003564 0.000000
9.300000 -0.003636 0.000000
9.400000 -0.009711 0.000000
9.500000 -0.012246 0.000000
9.600000 -0.010107 0.000000
9.700000 -0.003939 0.000000
9.800000 0.004018 0.000000
9.900000 0.010732 0.000000
10.000000 0.013534 0.000000
10.100000 0.011170 0.000000
10.200000 0.004353 0.000000
10.300000 -0.004441 0.000000
10.400000 -0.011861 0.000000
10.500000 -0.014957 0.000000
10.600000 -0.012345 0.000000
10.700000 -0.004811 0.000000
10.800000 0.004908 0.000000
10.900000 0.013108 0.000000
