L D_beta2 D_beta3
0.200000 0.447214 0.584804
0.400000 0.632456 0.736806
0.600000 0.774597 0.843433
0.800000 0.894427 0.928318
1.000000 1.000000 1.000000
1.200000 1.095445 1.062659
1.400000 1.183216 1.118689
1.600000 1.264911 1.169607
1.800000 1.341641 1.216440
2.000000 1.414214 1.259921
2.200000 1.483240 1.300591
2.400000 1.549193 1.338866
2.600000 1.612452 1.375069
2.800000 1.673320 1.409460
3.000000 1.732051 1.442250
3.200000 1.788854 1.473613
3.400000 1.843909 1.503695
3.600000 1.897367 1.532619
3.800000 1.949359 1.560491
4.000000 2.000000 1.587401
4.200000 2.049390 1.613429
4.400000 2.097618 1.638643
4.600000 2.144761 1.663103
4.800000 2.190890 1.686865
5.000000 2.236068 1.709976
5.200000 2.280351 1.732478
5.400000 2.323790 1.754411
5.600000 2.366432 1.775808
5.800000 2.408319 1.796702
6.000000 2.449490 1.817121
6.200000 2.489980 1.837091
6.400000 2.529822 1.856636
6.600000 2.569047 1.875777
6.800000 2.607681 1.894536
7.000000 2.645751 1.912931
7.200000 2.683282 1.930979
7.400000 2.720294 1.948695
7.600000 2.756810 1.966095
7.800000 2.792848 1.983192
8.000000 2.828427 2.000000
8.200000 2.863564 2.016530
8.400000 2.898275 2.032793
8.600000 2.932576 2.048800
8.800000 2.966479 2.064560
9.000000 3.000000 2.080084
9.200000 3.033150 2.095379
9.400000 3.065942 2.110454
9.600000 3.098387 2.125317
9.800000 3.130495 2.139975
10.000000 3.162278 2.154435
