L chi cost
2 8 1024
2 16 8192
2 32 65536
3 8 1536
3 16 12288
3 32 98304
4 8 2048
4 16 16384
4 32 131072
5 8 2560
5 16 20480
5 32 163840
6 8 3072
6 16 24576
6 32 196608
7 8 3584
7 16 28672
7 32 229376
8 8 4096
8 16 32768
8 32 262144
9 8 4608
9 16 36864
9 32 294912
10 8 5120
10 16 40960
10 32 327680
11 8 5632
11 16 45056
11 32 360448
12 8 6144
12 16 49152
12 32 393216
13 8 6656
13 16 53248
13 32 425984
14 8 7168
14 16 57344
14 32 458752
15 8 7680
15 16 61440
15 32 491520
16 8 8192
16 16 65536
16 32 524288
17 8 8704
17 16 69632
17 32 557056
18 8 9216
18 16 73728
18 32 589824
19 8 9728
19 16 77824
19 32 622592
20 8 10240
20 16 81920
20 32 655360
21 8 10752
21 16 86016
21 32 688128
22 8 11264
22 16 90112
22 32 720896
23 8 11776
23 16 94208
23 32 753664
24 8 12288
24 16 98304
24 32 786432
25 8 12800
25 16 102400
25 32 819200
26 8 13312
26 16 106496
26 32 851968
27 8 13824
27 16 110592
27 32 884736
28 8 14336
28 16 114688
28 32 917504
29 8 14848
29 16 118784
29 32 950272
30 8 15360
30 16 122880
30 32 983040
31 8 15872
31 16 126976
31 32 1015808
32 8 16384
32 16 131072
32 32 1048576
33 8 16896
33 16 135168
33 32 1081344
34 8 17408
34 16 139264
34 32 1114112
35 8 17920
35 16 143360
35 32 1146880
36 8 18432
36 16 147456
36 32 1179648
37 8 18944
37 16 151552
37 32 1212416
38 8 19456
38 16 155648
38 32 1245184
39 8 19968
39 16 159744
39 32 1277952
40 8 20480
40 16 163840
40 32 1310720
41 8 20992
41 16 167936
41 32 1343488
42 8 21504
42 16 172032
42 32 1376256
43 8 22016
43 16 176128
43 32 1409024
44 8 22528
44 16 180224
44 32 1441792
45 8 23040
45 16 184320
45 32 1474560
46 8 23552
46 16 188416
46 32 1507328
47 8 24064
47 16 192512
47 32 1540096
48 8 24576
48 16 196608
48 32 1572864
49 8 25088
49 16 200704
49 32 1605632
50 8 25600
50 16 204800
50 32 1638400
51 8 26112
51 16 208896
51 32 1671168
52 8 26624
52 16 212992
52 32 1703936
53 8 27136
53 16 217088
53 32 1736704
54 8 27648
54 16 221184
54 32 1769472
55 8 28160
55 16 225280
55 32 1802240
56 8 28672
56 16 229376
56 32 1835008
57 8 29184
57 16 233472
57 32 1867776
58 8 29696
58 16 237568
58 32 1900544
59 8 30208
59 16 241664
59 32 1933312
60 8 30720
60 16 245760
60 32 1966080
61 8 31232
61 16 249856
61 32 1998848
62 8 31744
62 16 253952
62 32 2031616
63 8 32256
63 16 258048
63 32 2064384
64 8 32768
64 16 262144
64 32 2097152
65 8 33280
65 16 266240
65 32 2129920
66 8 33792
66 16 270336
66 32 2162688
67 8 34304
67 16 274432
67 32 2195456
68 8 34816
68 16 278528
68 32 2228224
69 8 35328
69 16 282624
69 32 2260992
70 8 35840
70 16 286720
70 32 2293760
71 8 36352
71 16 290816
71 32 2326528
72 8 36864
72 16 294912
72 32 2359296
73 8 37376
73 16 299008
73 32 2392064
74 8 37888
74 16 303104
74 32 2424832
75 8 38400
75 16 307200
75 32 2457600
76 8 38912
76 16 311296
76 32 2490368
77 8 39424
77 16 315392
77 32 2523136
78 8 39936
78 16 319488
78 32 2555904
79 8 40448
79 16 323584
79 32 2588672
80 8 40960
80 16 327680
80 32 2621440
81 8 41472
81 16 331776
81 32 2654208
82 8 41984
82 16 335872
82 32 2686976
83 8 42496
83 16 339968
83 32 2719744
84 8 43008
84 16 344064
84 32 2752512
85 8 43520
85 16 348160
85 32 2785280
86 8 44032
86 16 352256
86 32 2818048
87 8 44544
87 16 356352
87 32 2850816
88 8 45056
88 16 360448
88 32 2883584
89 8 45568
89 16 364544
89 32 2916352
90 8 46080
90 16 368640
90 32 2949120
91 8 46592
91 16 372736
91 32 2981888
92 8 47104
92 16 376832
92 32 3014656
93 8 47616
93 16 380928
93 32 3047424
94 8 48128
94 16 385024
94 32 3080192
95 8 48640
95 16 389120
95 32 3112960
96 8 49152
96 16 393216
96 32 3145728
97 8 49664
97 16 397312
97 32 3178496
98 8 50176
98 16 401408
98 32 3211264
99 8 50688
99 16 405504
99 32 3244032
100 8 51200
100 16 409600
100 32 3276800
