t S_mean std_S upper_S lower_S ideal_page hawking bh_entropy
0 0.000000 0.000000 0.000000 0.000000 0 0.000000 12
1 0.000000 0.000000 0.000000 0.000000 1 0.500000 11
2 0.000000 0.000000 0.000000 0.000000 2 1.000000 10
3 0.000000 0.000000 0.000000 0.000000 3 1.500000 9
4 0.000000 0.000000 0.000000 0.000000 4 2.000000 8
5 0.000000 0.000000 0.000000 0.000000 5 2.500000 7
6 0.000000 0.000000 0.000000 0.000000 6 3.000000 6
7 0.000000 0.000000 0.000000 0.000000 5 3.500000 5
8 0.000000 0.000000 0.000000 0.000000 4 4.000000 4
9 0.000000 0.000000 0.000000 0.000000 3 4.500000 3
10 0.000000 0.000000 0.000000 0.000000 2 5.000000 2
11 0.000000 0.000000 0.000000 0.000000 1 5.500000 1
12 0.000000 0.000000 0.000000 0.000000 0 6.000000 0.000000
