u F_soft
0 0.001000
1 5.000e-04
2 3.333e-04
3 2.500e-04
4 2.000e-04
5 1.667e-04
6 1.429e-04
7 1.250e-04
8 1.111e-04
9 1.000e-04
10 9.091e-05
11 8.333e-05
12 7.692e-05
13 7.143e-05
14 6.667e-05
15 6.250e-05
16 5.882e-05
17 5.556e-05
18 5.263e-05
19 5.000e-05
20 4.762e-05
21 4.545e-05
22 4.348e-05
23 4.167e-05
24 4.000e-05
25 3.846e-05
26 3.704e-05
27 3.571e-05
28 3.448e-05
29 3.333e-05
30 3.226e-05
31 3.125e-05
32 3.030e-05
33 2.941e-05
34 2.857e-05
35 2.778e-05
36 2.703e-05
37 2.632e-05
38 2.564e-05
39 2.500e-05
40 2.439e-05
41 2.381e-05
42 2.326e-05
43 2.273e-05
44 2.222e-05
45 2.174e-05
46 2.128e-05
47 2.083e-05
48 2.041e-05
49 2.000e-05
50 1.961e-05
51 1.923e-05
52 1.887e-05
53 1.852e-05
54 1.818e-05
55 1.786e-05
56 1.754e-05
57 1.724e-05
58 1.695e-05
59 1.667e-05
60 1.639e-05
61 1.613e-05
62 1.587e-05
63 1.563e-05
64 1.538e-05
65 1.515e-05
66 1.493e-05
67 1.471e-05
68 1.449e-05
69 1.429e-05
70 1.408e-05
71 1.389e-05
72 1.370e-05
73 1.351e-05
74 1.333e-05
75 1.316e-05
76 1.299e-05
77 1.282e-05
78 1.266e-05
79 1.250e-05
80 1.235e-05
81 1.220e-05
82 1.205e-05
83 1.190e-05
84 1.176e-05
85 1.163e-05
86 1.149e-05
87 1.136e-05
88 1.124e-05
89 1.111e-05
90 1.099e-05
91 1.087e-05
92 1.075e-05
93 1.064e-05
94 1.053e-05
95 1.042e-05
96 1.031e-05
97 1.020e-05
98 1.010e-05
99 1.000e-05
100 9.901e-06
101 9.804e-06
102 9.709e-06
103 9.615e-06
104 9.524e-06
105 9.434e-06
106 9.346e-06
107 9.259e-06
108 9.174e-06
109 9.091e-06
110 9.009e-06
111 8.929e-06
112 8.850e-06
113 8.772e-06
114 8.696e-06
115 8.621e-06
116 8.547e-06
117 8.475e-06
118 8.403e-06
119 8.333e-06
120 8.264e-06
121 8.197e-06
122 8.130e-06
123 8.065e-06
124 8.000e-06
125 7.937e-06
126 7.874e-06
127 7.813e-06
128 7.752e-06
