comparison metric t_stat p_value effect_size
P0-minus-vs-Nominal rmse 0.000000 1.00e+00 0.000000
P0-minus-vs-Nominal g2\_amp 1.240000 2.15e-01 0.250000
P0-plus-vs-Nominal rmse 0.000000 1.00e+00 0.000000
P0-plus-vs-Nominal g2\_amp 0.480000 6.31e-01 0.100000
weak-scramble-vs-Nominal rmse 0.000000 1.00e+00 0.000000
weak-scramble-vs-Nominal g2\_amp 1.260000 2.06e-01 0.250000
strong-eps-vs-Nominal rmse 0.000000 1.00e+00 0.000000
strong-eps-vs-Nominal g2\_amp 59.740000 0.00e+00 11.950000
gentle-eps-vs-Nominal rmse 0.000000 1.00e+00 0.000000
gentle-eps-vs-Nominal g2\_amp -21.740000 0.00e+00 -4.350000
