omega I_thermal I_total
0.050000 0.002438 0.005051
0.100000 0.009508 0.015623
0.150000 0.020855 0.033799
0.200000 0.036133 0.060928
0.250000 0.055013 0.097988
0.300000 0.077174 0.144573
0.350000 0.102310 0.197955
0.400000 0.130128 0.252937
0.450000 0.160343 0.303028
0.500000 0.192687 0.342687
0.550000 0.226900 0.369584
0.600000 0.262736 0.385545
0.650000 0.299959 0.395604
0.700000 0.338347 0.405746
0.750000 0.377686 0.420661
0.800000 0.417775 0.442570
0.850000 0.458423 0.471367
0.900000 0.499451 0.505565
0.950000 0.540689 0.543302
1.000000 0.581977 0.582987
1.050000 0.623166 0.623520
1.100000 0.664117 0.664229
1.150000 0.704698 0.704730
1.200000 0.744790 0.744798
1.250000 0.784280 0.784281
1.300000 0.823063 0.823064
1.350000 0.861046 0.861046
1.400000 0.898141 0.898141
1.450000 0.934268 0.934268
1.500000 0.969357 0.969357
1.550000 1.003342 1.003342
1.600000 1.036167 1.036167
1.650000 1.067779 1.067779
1.700000 1.098135 1.098135
1.750000 1.127197 1.127197
1.800000 1.154932 1.154932
1.850000 1.181313 1.181313
1.900000 1.206319 1.206319
1.950000 1.229932 1.229932
2.000000 1.252141 1.252141
2.050000 1.272939 1.272939
2.100000 1.292322 1.292322
2.150000 1.310291 1.310291
2.200000 1.326851 1.326851
2.250000 1.342010 1.342010
2.300000 1.355778 1.355778
2.350000 1.368170 1.368170
2.400000 1.379204 1.379204
2.450000 1.388897 1.388897
2.500000 1.397273 1.397273
2.550000 1.404356 1.404356
2.600000 1.410171 1.410171
2.650000 1.414746 1.414746
2.700000 1.418111 1.418111
2.750000 1.420296 1.420296
2.800000 1.421334 1.421334
2.850000 1.421257 1.421257
2.900000 1.420100 1.420100
2.950000 1.417897 1.417897
3.000000 1.414684 1.414684
3.050000 1.410497 1.410497
3.100000 1.405372 1.405372
3.150000 1.399346 1.399346
3.200000 1.392455 1.392455
3.250000 1.384738 1.384738
3.300000 1.376230 1.376230
3.350000 1.366969 1.366969
3.400000 1.356990 1.356990
3.450000 1.346331 1.346331
3.500000 1.335027 1.335027
3.550000 1.323114 1.323114
3.600000 1.310627 1.310627
3.650000 1.297600 1.297600
3.700000 1.284067 1.284067
3.750000 1.270063 1.270063
3.800000 1.255618 1.255618
3.850000 1.240766 1.240766
3.900000 1.225537 1.225537
3.950000 1.209962 1.209962
4.000000 1.194071 1.194071
4.050000 1.177892 1.177892
4.100000 1.161454 1.161454
4.150000 1.144783 1.144783
4.200000 1.127906 1.127906
4.250000 1.110848 1.110848
4.300000 1.093634 1.093634
4.350000 1.076288 1.076288
4.400000 1.058833 1.058833
4.450000 1.041289 1.041289
4.500000 1.023679 1.023679
4.550000 1.006023 1.006023
4.600000 0.988340 0.988340
4.650000 0.970649 0.970649
4.700000 0.952966 0.952966
4.750000 0.935310 0.935310
4.800000 0.917697 0.917697
4.850000 0.900140 0.900140
4.900000 0.882656 0.882656
4.950000 0.865257 0.865257
5.000000 0.847957 0.847957
