u S_BH h_rms
0 1000000.000000 1.000e-06
1 996093.750000 1.004e-06
2 992187.500000 1.008e-06
3 988281.250000 1.012e-06
4 984375.000000 1.016e-06
5 980468.750000 1.020e-06
6 976562.500000 1.024e-06
7 972656.250000 1.028e-06
8 968750.000000 1.032e-06
9 964843.750000 1.036e-06
10 960937.500000 1.041e-06
11 957031.250000 1.045e-06
12 953125.000000 1.049e-06
13 949218.750000 1.053e-06
14 945312.500000 1.058e-06
15 941406.250000 1.062e-06
16 937500.000000 1.067e-06
17 933593.750000 1.071e-06
18 929687.500000 1.076e-06
19 925781.250000 1.080e-06
20 921875.000000 1.085e-06
21 917968.750000 1.089e-06
22 914062.500000 1.094e-06
23 910156.250000 1.099e-06
24 906250.000000 1.103e-06
25 902343.750000 1.108e-06
26 898437.500000 1.113e-06
27 894531.250000 1.118e-06
28 890625.000000 1.123e-06
29 886718.750000 1.128e-06
30 882812.500000 1.133e-06
31 878906.250000 1.138e-06
32 875000.000000 1.143e-06
33 871093.750000 1.148e-06
34 867187.500000 1.153e-06
35 863281.250000 1.158e-06
36 859375.000000 1.164e-06
37 855468.750000 1.169e-06
38 851562.500000 1.174e-06
39 847656.250000 1.180e-06
40 843750.000000 1.185e-06
41 839843.750000 1.191e-06
42 835937.500000 1.196e-06
43 832031.250000 1.202e-06
44 828125.000000 1.208e-06
45 824218.750000 1.213e-06
46 820312.500000 1.219e-06
47 816406.250000 1.225e-06
48 812500.000000 1.231e-06
49 808593.750000 1.237e-06
50 804687.500000 1.243e-06
51 800781.250000 1.249e-06
52 796875.000000 1.255e-06
53 792968.750000 1.261e-06
54 789062.500000 1.267e-06
55 785156.250000 1.274e-06
56 781250.000000 1.280e-06
57 777343.750000 1.286e-06
58 773437.500000 1.293e-06
59 769531.250000 1.299e-06
60 765625.000000 1.306e-06
61 761718.750000 1.313e-06
62 757812.500000 1.320e-06
63 753906.250000 1.326e-06
64 750000.000000 1.333e-06
65 746093.750000 1.340e-06
66 742187.500000 1.347e-06
67 738281.250000 1.354e-06
68 734375.000000 1.362e-06
69 730468.750000 1.369e-06
70 726562.500000 1.376e-06
71 722656.250000 1.384e-06
72 718750.000000 1.391e-06
73 714843.750000 1.399e-06
74 710937.500000 1.407e-06
75 707031.250000 1.414e-06
76 703125.000000 1.422e-06
77 699218.750000 1.430e-06
78 695312.500000 1.438e-06
79 691406.250000 1.446e-06
80 687500.000000 1.455e-06
81 683593.750000 1.463e-06
82 679687.500000 1.471e-06
83 675781.250000 1.480e-06
84 671875.000000 1.488e-06
85 667968.750000 1.497e-06
86 664062.500000 1.506e-06
87 660156.250000 1.515e-06
88 656250.000000 1.524e-06
89 652343.750000 1.533e-06
90 648437.500000 1.542e-06
91 644531.250000 1.552e-06
92 640625.000000 1.561e-06
93 636718.750000 1.571e-06
94 632812.500000 1.580e-06
95 628906.250000 1.590e-06
96 625000.000000 1.600e-06
97 621093.750000 1.610e-06
98 617187.500000 1.620e-06
99 613281.250000 1.631e-06
100 609375.000000 1.641e-06
101 605468.750000 1.652e-06
102 601562.500000 1.662e-06
103 597656.250000 1.673e-06
104 593750.000000 1.684e-06
105 589843.750000 1.695e-06
106 585937.500000 1.707e-06
107 582031.250000 1.718e-06
108 578125.000000 1.730e-06
109 574218.750000 1.741e-06
110 570312.500000 1.753e-06
111 566406.250000 1.766e-06
112 562500.000000 1.778e-06
113 558593.750000 1.790e-06
114 554687.500000 1.803e-06
115 550781.250000 1.816e-06
116 546875.000000 1.829e-06
117 542968.750000 1.842e-06
118 539062.500000 1.855e-06
119 535156.250000 1.869e-06
120 531250.000000 1.882e-06
121 527343.750000 1.896e-06
122 523437.500000 1.910e-06
123 519531.250000 1.925e-06
124 515625.000000 1.939e-06
125 511718.750000 1.954e-06
126 507812.500000 1.969e-06
127 503906.250000 1.984e-06
128 500000.000000 2.000e-06
