u tau_eff A chi
0 7.999984 0.000000 8
1 7.999975 1.000e-06 8
2 7.999962 2.000e-06 8
3 7.999941 3.000e-06 8
4 7.999911 5.000e-06 8
5 7.999865 7.000e-06 8
6 7.999797 1.000e-05 8
7 7.999697 1.500e-05 8
8 7.999552 2.200e-05 8
9 7.999341 3.200e-05 8
10 7.999039 4.600e-05 8
11 7.998606 6.500e-05 8
12 7.997993 9.200e-05 8
13 7.997130 1.290e-04 8
14 7.995926 1.800e-04 8
15 7.994255 2.480e-04 8
16 7.991957 3.400e-04 8
17 7.988818 4.630e-04 8
18 7.984565 6.250e-04 8
19 7.978844 8.370e-04 8
20 7.971211 0.001113 9
21 7.961108 0.001468 9
22 7.947842 0.001921 9
23 7.930572 0.002494 9
24 7.908282 0.003212 10
25 7.879769 0.004102 10
26 7.843637 0.005194 11
27 7.798296 0.006518 12
28 7.741983 0.008105 13
29 7.672798 0.009984 14
30 7.588772 0.012179 15
31 7.487955 0.014706 16
32 7.368542 0.017570 18
33 7.229018 0.020765 20
34 7.068319 0.024265 22
35 6.885994 0.028026 24
36 6.682339 0.031987 26
37 6.458496 0.036066 28
38 6.216473 0.040167 30
39 5.959097 0.044184 33
40 5.689877 0.048006 35
41 5.412805 0.051522 37
42 5.132115 0.054634 39
43 4.852027 0.057255 40
44 4.576511 0.059316 41
45 4.309102 0.060771 42
46 4.052772 0.061592 42
47 3.809863 0.061772 43
48 3.582084 0.061321 42
49 3.370550 0.060262 42
50 3.175855 0.058628 41
51 2.998161 0.056462 40
52 2.837290 0.053809 38
53 2.692817 0.050717 36
54 2.564148 0.047233 34
55 2.450591 0.043405 32
56 2.351411 0.039277 30
57 2.265876 0.034892 28
58 2.193289 0.030289 25
59 2.133011 0.025505 22
60 2.084485 0.020574 20
61 2.047240 0.015528 17
62 2.020906 0.010398 14
63 2.005213 0.005213 11
64 2.000000 0.000000 8
65 2.005213 0.005213 11
66 2.020906 0.010398 14
67 2.047240 0.015528 17
68 2.084485 0.020574 20
69 2.133011 0.025505 22
70 2.193289 0.030289 25
71 2.265876 0.034892 28
72 2.351411 0.039277 30
73 2.450591 0.043405 32
74 2.564148 0.047233 34
75 2.692817 0.050717 36
76 2.837290 0.053809 38
77 2.998161 0.056462 40
78 3.175855 0.058628 41
79 3.370550 0.060262 42
80 3.582084 0.061321 42
81 3.809863 0.061772 43
82 4.052772 0.061592 42
83 4.309102 0.060771 42
84 4.576511 0.059316 41
85 4.852027 0.057255 40
86 5.132115 0.054634 39
87 5.412805 0.051522 37
88 5.689877 0.048006 35
89 5.959097 0.044184 33
90 6.216473 0.040167 30
91 6.458496 0.036066 28
92 6.682339 0.031987 26
93 6.885994 0.028026 24
94 7.068319 0.024265 22
95 7.229018 0.020765 20
96 7.368542 0.017570 18
97 7.487955 0.014706 16
98 7.588772 0.012179 15
99 7.672798 0.009984 14
100 7.741983 0.008105 13
101 7.798296 0.006518 12
102 7.843637 0.005194 11
103 7.879769 0.004102 10
104 7.908282 0.003212 10
105 7.930572 0.002494 9
106 7.947842 0.001921 9
107 7.961108 0.001468 9
108 7.971211 0.001113 9
109 7.978844 8.370e-04 8
110 7.984565 6.250e-04 8
111 7.988818 4.630e-04 8
112 7.991957 3.400e-04 8
113 7.994255 2.480e-04 8
114 7.995926 1.800e-04 8
115 7.997130 1.290e-04 8
116 7.997993 9.200e-05 8
117 7.998606 6.500e-05 8
118 7.999039 4.600e-05 8
119 7.999341 3.200e-05 8
120 7.999552 2.200e-05 8
121 7.999697 1.500e-05 8
122 7.999797 1.000e-05 8
123 7.999865 7.000e-06 8
124 7.999911 5.000e-06 8
125 7.999941 3.000e-06 8
126 7.999962 2.000e-06 8
127 7.999975 1.000e-06 8
128 7.999984 0.000000 8
