Filename Hash SizeKB
datatableAblation.dat 42e0559a0e4b929b 0.470000
datatableAblationSig.dat 377b9fa37d8d56ca 0.590000
datatableAfterglow.dat 55cb0413f1825dd4 2.760000
datatableAnalogSidebands.dat f2af2fff1191455c 0.160000
datatableArtifactMap.dat 6e9e9e462c38fa62 0.310000
datatableCVsummary.dat 245ea980c6a8c134 0.070000
datatableDetectorSNR.dat b79149269132d399 0.230000
datatableDressingDilation.dat 7967bbcca473dd72 1.670000
datatableEchoExample_30Msun.dat a5a976ab35af8132 0.110000
datatableEchoSNR.dat 3f3cf230ca8ce21e 5.670000
datatableEchoSystematics.dat 2476635855d32ec9 0.530000
datatableEchoSystematics.dat 2476635855d32ec9 0.530000
datatableEchoThresholds.dat c96e1ebaea27a5c5 0.110000
datatableEchoTrials.dat 717112b47ba76b72 0.080000
datatableEchoWaveform.dat ff95eb67385dca95 30.130000
datatableEinsteinLangevin.dat bb9423a0417666fb 3.560000
datatableErrorBudget.dat c62a2b0e39367980 0.080000
datatableExactComb.dat 96e95cb8ac1e3a28 0.200000
datatableGreybodySweep.dat 5513cab6d126c895 0.210000
datatableGtwo.dat 4fca3057e1655d7d 4.050000
datatableHeavyTail.dat 10891ccdfdaa8577 1.390000
datatableHydroOTOC.dat 8a387a38263f8475 1.660000
datatableKcov.dat 79d1590cf38a2a8d 3.170000
datatableMarkovBaseline.dat ccb42272f176ee08 0.080000
datatableMarkovBaseline.dat ccb42272f176ee08 0.080000
datatableMarkovBaseline.dat ccb42272f176ee08 0.080000
datatableMinimalCombRE.dat aa313a8f3d0b3111 0.160000
datatableNullDist.dat 196f407f8f7a3329 0.590000
datatableObservability.dat 3b7dbf2582840047 0.270000
datatablePTMPOPageCurve.dat 19f20bb65a26f791 3.280000
datatablePTMPOerror.dat a4b30fc4b87ae1fc 0.110000
datatablePTMPOscaling.dat 49950483f8e52614 0.200000
datatablePagecurve.dat cb4f025cb57fa8fe 0.730000
datatablePetzRecovery.dat 4277b3838f611587 0.420000
datatablePhotonSphereLyap.dat d43e3c42110b184a 0.130000
datatablePhysicalScales.dat 397977d49c30cd2d 0.170000
datatableQEC.dat 65e3a4e0271423c5 0.380000
datatableQEIVariance.dat 329b3b03a8233eda 0.270000
datatableQTPEgap.dat 0abf61c7e9c597a4 0.760000
datatableRingdown3Pole.dat 088ddf488f88489d 6.000000
datatableSchwarzianKernel.dat d35e86ac2f257155 8.810000
datatableSoftFlux.dat 827ddd2d1f709219 1.790000
datatableTruncationError.dat 3c66b046f86ccb55 0.270000
