bin_center count_signal count_null
0.250000 2.000e-04 0.242300
0.750000 0.002500 0.566100
1.250000 0.018700 0.572300
1.750000 0.083800 0.378500
2.250000 0.227900 0.179000
2.750000 0.375800 0.062700
3.250000 0.375800 0.016500
3.750000 0.227900 0.003300
4.250000 0.083800 5.000e-04
4.750000 0.018700 1.000e-04
5.250000 0.002500 0.000000
5.750000 2.000e-04 0.000000
6.250000 0.000000 0.000000
6.750000 0.000000 0.000000
7.250000 0.000000 0.000000
7.750000 0.000000 0.000000
8.250000 0.000000 0.000000
8.750000 0.000000 0.000000
9.250000 0.000000 0.000000
9.750000 0.000000 0.000000
