L chi err
2 8 1.170320
2 16 0.949329
2 32 0.701897
3 8 1.170320
3 16 0.949329
3 32 0.701897
4 8 1.170320
4 16 0.949329
4 32 0.701897
5 8 1.170320
5 16 0.949329
5 32 0.701897
6 8 1.170320
6 16 0.949329
6 32 0.701897
7 8 1.079685
7 16 0.858694
7 32 0.611262
8 8 1.005480
8 16 0.784489
8 32 0.537057
9 8 0.944726
9 16 0.723735
9 32 0.476302
10 8 0.894985
10 16 0.673993
10 32 0.426561
11 8 0.854260
11 16 0.633269
11 32 0.385836
12 8 0.820917
12 16 0.599926
12 32 0.352494
13 8 0.793619
13 16 0.572627
13 32 0.325195
14 8 0.771268
14 16 0.550277
14 32 0.302845
15 8 0.752969
15 16 0.531978
15 32 0.284546
16 8 0.737988
16 16 0.516997
16 32 0.269564
17 8 0.725722
17 16 0.504731
17 32 0.257298
18 8 0.715679
18 16 0.494688
18 32 0.247255
19 8 0.707457
19 16 0.486466
19 32 0.239033
20 8 0.700725
20 16 0.479734
20 32 0.232302
21 8 0.695214
21 16 0.474222
21 32 0.226790
22 8 0.690701
22 16 0.469710
22 32 0.222278
23 8 0.687007
23 16 0.466016
23 32 0.218583
24 8 0.683982
24 16 0.462991
24 32 0.215558
25 8 0.681505
25 16 0.460514
25 32 0.213082
26 8 0.679478
26 16 0.458487
26 32 0.211054
27 8 0.677818
27 16 0.456827
27 32 0.209394
28 8 0.676459
28 16 0.455468
28 32 0.208035
29 8 0.675346
29 16 0.454355
29 32 0.206922
30 8 0.674435
30 16 0.453444
30 32 0.206011
31 8 0.673689
31 16 0.452698
31 32 0.205265
32 8 0.673078
32 16 0.452087
32 32 0.204655
33 8 0.672578
33 16 0.451587
33 32 0.204155
34 8 0.672169
34 16 0.451178
34 32 0.203745
35 8 0.671834
35 16 0.450843
35 32 0.203410
36 8 0.671559
36 16 0.450568
36 32 0.203136
37 8 0.671335
37 16 0.450344
37 32 0.202911
38 8 0.671151
38 16 0.450160
38 32 0.202727
39 8 0.671000
39 16 0.450009
39 32 0.202577
40 8 0.670877
40 16 0.449886
40 32 0.202453
41 8 0.670776
41 16 0.449785
41 32 0.202352
42 8 0.670693
42 16 0.449702
42 32 0.202270
43 8 0.670626
43 16 0.449635
43 32 0.202202
44 8 0.670570
44 16 0.449579
44 32 0.202147
45 8 0.670525
45 16 0.449534
45 32 0.202101
46 8 0.670488
46 16 0.449497
46 32 0.202064
47 8 0.670457
47 16 0.449466
47 32 0.202034
48 8 0.670432
48 16 0.449441
48 32 0.202009
49 8 0.670412
49 16 0.449421
49 32 0.201989
50 8 0.670395
50 16 0.449404
50 32 0.201972
51 8 0.670382
51 16 0.449391
51 32 0.201958
52 8 0.670371
52 16 0.449379
52 32 0.201947
53 8 0.670361
53 16 0.449370
53 32 0.201938
54 8 0.670354
54 16 0.449363
54 32 0.201930
55 8 0.670348
55 16 0.449357
55 32 0.201924
56 8 0.670343
56 16 0.449352
56 32 0.201919
57 8 0.670339
57 16 0.449348
57 32 0.201915
58 8 0.670335
58 16 0.449344
58 32 0.201912
59 8 0.670333
59 16 0.449341
59 32 0.201909
60 8 0.670330
60 16 0.449339
60 32 0.201907
61 8 0.670328
61 16 0.449337
61 32 0.201905
62 8 0.670327
62 16 0.449336
62 32 0.201903
63 8 0.670326
63 16 0.449335
63 32 0.201902
64 8 0.670325
64 16 0.449334
64 32 0.201901
65 8 0.670324
65 16 0.449333
65 32 0.201900
66 8 0.670323
66 16 0.449332
66 32 0.201900
67 8 0.670323
67 16 0.449331
67 32 0.201899
68 8 0.670322
68 16 0.449331
68 32 0.201899
69 8 0.670322
69 16 0.449331
69 32 0.201898
70 8 0.670321
70 16 0.449330
70 32 0.201898
71 8 0.670321
71 16 0.449330
71 32 0.201898
72 8 0.670321
72 16 0.449330
72 32 0.201897
73 8 0.670321
73 16 0.449330
73 32 0.201897
74 8 0.670321
74 16 0.449330
74 32 0.201897
75 8 0.670321
75 16 0.449329
75 32 0.201897
76 8 0.670320
76 16 0.449329
76 32 0.201897
77 8 0.670320
77 16 0.449329
77 32 0.201897
78 8 0.670320
78 16 0.449329
78 32 0.201897
79 8 0.670320
79 16 0.449329
79 32 0.201897
80 8 0.670320
80 16 0.449329
80 32 0.201897
81 8 0.670320
81 16 0.449329
81 32 0.201897
82 8 0.670320
82 16 0.449329
82 32 0.201897
83 8 0.670320
83 16 0.449329
83 32 0.201897
84 8 0.670320
84 16 0.449329
84 32 0.201897
85 8 0.670320
85 16 0.449329
85 32 0.201897
86 8 0.670320
86 16 0.449329
86 32 0.201897
87 8 0.670320
87 16 0.449329
87 32 0.201897
88 8 0.670320
88 16 0.449329
88 32 0.201897
89 8 0.670320
89 16 0.449329
89 32 0.201897
90 8 0.670320
90 16 0.449329
90 32 0.201897
91 8 0.670320
91 16 0.449329
91 32 0.201897
92 8 0.670320
92 16 0.449329
92 32 0.201897
93 8 0.670320
93 16 0.449329
93 32 0.201897
94 8 0.670320
94 16 0.449329
94 32 0.201897
95 8 0.670320
95 16 0.449329
95 32 0.201897
96 8 0.670320
96 16 0.449329
96 32 0.201897
97 8 0.670320
97 16 0.449329
97 32 0.201897
98 8 0.670320
98 16 0.449329
98 32 0.201897
99 8 0.670320
99 16 0.449329
99 32 0.201897
100 8 0.670320
100 16 0.449329
100 32 0.201897
