t S_mean std_S upper_S lower_S ideal_page hawking bh_entropy
0 0.020200 0.027600 0.047900 0.000000 0 0.000000 12
1 0.580700 0.053500 0.634200 0.527200 1 0.500000 11
2 1.169500 0.055600 1.225100 1.114000 2 1.000000 10
3 1.751500 0.047600 1.799100 1.703900 3 1.500000 9
4 2.334400 0.054000 2.388400 2.280400 4 2.000000 8
5 2.917100 0.047500 2.964600 2.869600 5 2.500000 7
6 3.507000 0.052600 3.559600 3.454500 6 3.000000 6
7 3.070500 0.048000 3.118500 3.022500 5 3.500000 5
8 2.606300 0.048400 2.654600 2.557900 4 4.000000 4
9 2.130700 0.049100 2.179900 2.081600 3 4.500000 3
10 1.607800 0.042500 1.650300 1.565300 2 5.000000 2
11 1.077000 0.058300 1.135300 1.018700 1 5.500000 1
12 0.491500 0.049100 0.540600 0.442400 0 6.000000 0.000000
