omega ReXi ImXi absXi
0.000000 -0.403234 0.015629 0.403537
2.272727 0.020707 -8.300e-05 0.020707
4.545455 0.034557 -8.700e-05 0.034557
6.818182 0.042653 -9.100e-05 0.042653
9.090909 0.048393 -9.600e-05 0.048393
11.363636 0.052841 -1.010e-04 0.052841
13.636364 0.056471 -1.060e-04 0.056472
15.909091 0.059538 -1.130e-04 0.059538
18.181818 0.062191 -1.190e-04 0.062191
20.454545 0.064528 -1.270e-04 0.064528
22.727273 0.066615 -1.350e-04 0.066615
25.000000 0.068500 -1.440e-04 0.068501
27.272727 0.070218 -1.550e-04 0.070218
29.545455 0.071795 -1.660e-04 0.071795
31.818182 0.073251 -1.790e-04 0.073251
34.090909 0.074603 -1.940e-04 0.074603
36.363636 0.075863 -2.110e-04 0.075864
38.636364 0.077043 -2.300e-04 0.077044
40.909091 0.078151 -2.520e-04 0.078152
43.181818 0.079195 -2.780e-04 0.079195
45.454545 0.080179 -3.080e-04 0.080180
47.727273 0.081110 -3.440e-04 0.081111
50.000000 0.081992 -3.860e-04 0.081993
52.272727 0.082829 -4.370e-04 0.082830
54.545455 0.083624 -4.990e-04 0.083626
56.818182 0.084381 -5.740e-04 0.084383
59.090909 0.085103 -6.670e-04 0.085106
61.363636 0.085796 -7.810e-04 0.085799
63.636364 0.086465 -9.250e-04 0.086470
65.909091 0.087121 -0.001103 0.087128
68.181818 0.087780 -0.001323 0.087790
70.454545 0.088463 -0.001587 0.088478
72.727273 0.089204 -0.001886 0.089224
75.000000 0.090036 -0.002190 0.090062
77.272727 0.090976 -0.002439 0.091008
79.545455 0.091997 -0.002561 0.092032
81.818182 0.093020 -0.002511 0.093054
84.090909 0.093956 -0.002309 0.093985
86.363636 0.094756 -0.002023 0.094778
88.636364 0.095421 -0.001722 0.095436
90.909091 0.095981 -0.001447 0.095992
93.181818 0.096469 -0.001215 0.096477
95.454545 0.096912 -0.001026 0.096917
97.727273 0.097326 -8.750e-04 0.097330
100.000000 0.097722 -7.550e-04 0.097725
102.272727 0.098106 -6.600e-04 0.098108
104.545455 0.098481 -5.850e-04 0.098483
106.818182 0.098849 -5.250e-04 0.098851
109.090909 0.099212 -4.770e-04 0.099214
111.363636 0.099570 -4.380e-04 0.099571
113.636364 0.099923 -4.080e-04 0.099924
115.909091 0.100271 -3.840e-04 0.100272
118.181818 0.100615 -3.650e-04 0.100615
120.454545 0.100953 -3.510e-04 0.100954
122.727273 0.101287 -3.400e-04 0.101288
125.000000 0.101616 -3.330e-04 0.101617
127.272727 0.101941 -3.290e-04 0.101941
129.545455 0.102261 -3.280e-04 0.102261
131.818182 0.102576 -3.300e-04 0.102576
134.090909 0.102886 -3.350e-04 0.102887
136.363636 0.103192 -3.420e-04 0.103193
138.636364 0.103494 -3.510e-04 0.103494
140.909091 0.103791 -3.640e-04 0.103792
143.181818 0.104085 -3.790e-04 0.104086
145.454545 0.104375 -3.970e-04 0.104376
147.727273 0.104662 -4.180e-04 0.104663
150.000000 0.104946 -4.430e-04 0.104947
152.272727 0.105228 -4.710e-04 0.105230
154.545455 0.105509 -5.030e-04 0.105510
156.818182 0.105789 -5.390e-04 0.105790
159.090909 0.106069 -5.780e-04 0.106071
161.363636 0.106351 -6.200e-04 0.106353
163.636364 0.106636 -6.660e-04 0.106638
165.909091 0.106925 -7.120e-04 0.106928
168.181818 0.107220 -7.590e-04 0.107222
170.454545 0.107520 -8.040e-04 0.107523
172.727273 0.107827 -8.440e-04 0.107830
175.000000 0.108140 -8.760e-04 0.108143
177.272727 0.108456 -8.990e-04 0.108459
179.545455 0.108773 -9.100e-04 0.108777
181.818182 0.109088 -9.080e-04 0.109092
184.090909 0.109397 -8.930e-04 0.109401
186.363636 0.109698 -8.680e-04 0.109701
188.636364 0.109987 -8.340e-04 0.109991
190.909091 0.110265 -7.950e-04 0.110268
193.181818 0.110531 -7.530e-04 0.110533
195.454545 0.110785 -7.100e-04 0.110787
197.727273 0.111028 -6.680e-04 0.111030
200.000000 0.111262 -6.280e-04 0.111264
202.272727 0.111488 -5.910e-04 0.111490
204.545455 0.111708 -5.590e-04 0.111709
206.818182 0.111921 -5.300e-04 0.111923
209.090909 0.112130 -5.040e-04 0.112131
211.363636 0.112335 -4.830e-04 0.112336
213.636364 0.112537 -4.650e-04 0.112538
215.909091 0.112736 -4.500e-04 0.112737
218.181818 0.112933 -4.380e-04 0.112934
220.454545 0.113127 -4.290e-04 0.113128
222.727273 0.113321 -4.220e-04 0.113321
225.000000 0.113513 -4.180e-04 0.113513
227.272727 0.113703 -4.160e-04 0.113704
229.545455 0.113894 -4.160e-04 0.113894
231.818182 0.114083 -4.170e-04 0.114084
234.090909 0.114273 -4.200e-04 0.114273
236.363636 0.114462 -4.240e-04 0.114463
238.636364 0.114651 -4.290e-04 0.114652
240.909091 0.114840 -4.350e-04 0.114841
243.181818 0.115030 -4.400e-04 0.115031
245.454545 0.115220 -4.460e-04 0.115221
247.727273 0.115411 -4.510e-04 0.115411
