u F_soft
0 0.001000
1 0.000500
2 0.000333
3 0.000250
4 0.000200
5 0.000167
6 0.000143
7 0.000125
8 0.000111
9 0.000100
10 0.000091
11 0.000083
12 0.000077
13 0.000071
14 0.000067
15 0.000063
16 0.000059
17 0.000056
18 0.000053
19 0.000050
20 0.000048
21 0.000045
22 0.000043
23 0.000042
24 0.000040
25 0.000038
26 0.000037
27 0.000036
28 0.000034
29 0.000033
30 0.000032
31 0.000031
32 0.000030
33 0.000029
34 0.000029
35 0.000028
36 0.000027
37 0.000026
38 0.000026
39 0.000025
40 0.000024
41 0.000024
42 0.000023
43 0.000023
44 0.000022
45 0.000022
46 0.000021
47 0.000021
48 0.000020
49 0.000020
50 0.000020
51 0.000019
52 0.000019
53 0.000019
54 0.000018
55 0.000018
56 0.000018
57 0.000017
58 0.000017
59 0.000017
60 0.000016
61 0.000016
62 0.000016
63 0.000016
64 0.000015
65 0.000015
66 0.000015
67 0.000015
68 0.000014
69 0.000014
70 0.000014
71 0.000014
72 0.000014
73 0.000014
74 0.000013
75 0.000013
76 0.000013
77 0.000013
78 0.000013
79 0.000013
80 0.000012
81 0.000012
82 0.000012
83 0.000012
84 0.000012
85 0.000012
86 0.000011
87 0.000011
88 0.000011
89 0.000011
90 0.000011
91 0.000011
92 0.000011
93 0.000011
94 0.000011
95 0.000010
96 0.000010
97 0.000010
98 0.000010
99 0.000010
100 0.000010
101 0.000010
102 0.000010
103 0.000010
104 0.000010
105 0.000009
106 0.000009
107 0.000009
108 0.000009
109 0.000009
110 0.000009
111 0.000009
112 0.000009
113 0.000009
114 0.000009
115 0.000009
116 0.000009
117 0.000008
118 0.000008
119 0.000008
120 0.000008
121 0.000008
122 0.000008
123 0.000008
124 0.000008
125 0.000008
126 0.000008
127 0.000008
128 0.000008
