# Meta: {"timestamp": "2025-09-05 22:57:20", "how_to_run": "python3 simulation.py", "task": "Synthetic logistic regression", "N_train": 2000, "N_test": 1000, "d": 20, "epochs": 20, "seeds": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], "software": {"python": "3.13.5", "numpy": "2.3.2", "platform": "Windows-11-10.0.26100-SP0"}, "params": {"SGD": {"eta": 0.05}, "SGDM": {"eta": 0.05, "momentum": 0.9}, "SGDCosine": {"eta0": 0.05, "schedule": "cosine over epochs"}, "RMSprop": {"eta": 0.01, "rho": 0.99, "eps": 1e-08}, "Adam": {"eta": 0.02, "beta1": 0.9, "beta2": 0.999, "eps": 1e-08}, "AdamW": {"eta": 0.02, "beta1": 0.9, "beta2": 0.999, "eps": 1e-08, "weight_decay": 0.0001}, "Align_SGD": {"eta_base": 0.05, "target_align": 0.7, "beta": 2.0, "W": 50}, "EB_SGD": {"eta_base": 0.03, "entropy_target": 0.65, "alpha": 2.0, "W": 50}}}
epoch,loss_SGD_mean,loss_SGD_ci,acc_SGD_mean,acc_SGD_ci,loss_SGDM_mean,loss_SGDM_ci,acc_SGDM_mean,acc_SGDM_ci,loss_SGDCosine_mean,loss_SGDCosine_ci,acc_SGDCosine_mean,acc_SGDCosine_ci,loss_RMSprop_mean,loss_RMSprop_ci,acc_RMSprop_mean,acc_RMSprop_ci,loss_Adam_mean,loss_Adam_ci,acc_Adam_mean,acc_Adam_ci,loss_AdamW_mean,loss_AdamW_ci,acc_AdamW_mean,acc_AdamW_ci,loss_Align_SGD_mean,loss_Align_SGD_ci,acc_Align_SGD_mean,acc_Align_SGD_ci,loss_EB_SGD_mean,loss_EB_SGD_ci,acc_EB_SGD_mean,acc_EB_SGD_ci,eb_eta_mean,eb_ent_mean,align_metric_mean,time_SGD_ms,time_SGDM_ms,time_SGDCosine_ms,time_RMSprop_ms,time_Adam_ms,time_AdamW_ms,time_Align_SGD_ms,time_EB_SGD_ms
1,0.5212,0.0030,0.9500,0.0053,0.2333,0.0034,0.9575,0.0058,0.5214,0.0030,0.9500,0.0053,0.2911,0.0087,0.9391,0.0111,0.2487,0.0102,0.9374,0.0116,0.2488,0.0102,0.9374,0.0116,0.4867,0.0033,0.9518,0.0054,0.5160,0.0031,0.9541,0.0049,0.0521,0.3802,0.8363,0.0184,0.0184,0.0197,0.0218,0.0238,0.0248,0.0419,0.0400
2,0.4322,0.0036,0.9538,0.0050,0.1771,0.0032,0.9622,0.0042,0.4333,0.0036,0.9538,0.0051,0.2381,0.0081,0.9515,0.0080,0.2039,0.0082,0.9558,0.0085,0.2039,0.0082,0.9558,0.0085,0.4021,0.0038,0.9559,0.0050,0.4323,0.0037,0.9554,0.0047,0.0477,0.4182,0.7830,0.0169,0.0179,0.0220,0.0225,0.0228,0.0234,0.0365,0.0433
3,0.3784,0.0036,0.9561,0.0048,0.1571,0.0032,0.9648,0.0044,0.3809,0.0036,0.9562,0.0048,0.2097,0.0074,0.9564,0.0072,0.1863,0.0073,0.9592,0.0071,0.1863,0.0073,0.9592,0.0071,0.3561,0.0039,0.9568,0.0046,0.3823,0.0038,0.9562,0.0048,0.0458,0.4389,0.7315,0.0203,0.0194,0.0185,0.0214,0.0225,0.0231,0.0414,0.0482
4,0.3421,0.0036,0.9572,0.0053,0.1451,0.0033,0.9645,0.0045,0.3462,0.0036,0.9571,0.0052,0.1909,0.0068,0.9581,0.0072,0.1755,0.0067,0.9607,0.0062,0.1755,0.0067,0.9607,0.0062,0.3267,0.0038,0.9577,0.0051,0.3485,0.0037,0.9577,0.0049,0.0443,0.4555,0.6872,0.0186,0.0234,0.0182,0.0196,0.0225,0.0254,0.0368,0.0453
5,0.3155,0.0035,0.9582,0.0052,0.1368,0.0034,0.9647,0.0046,0.3216,0.0035,0.9579,0.0052,0.1771,0.0062,0.9611,0.0059,0.1677,0.0063,0.9611,0.0056,0.1678,0.0063,0.9611,0.0056,0.3058,0.0037,0.9587,0.0049,0.3238,0.0037,0.9580,0.0051,0.0430,0.4696,0.6482,0.0172,0.0179,0.0173,0.0199,0.0309,0.0251,0.0400,0.0496
6,0.2952,0.0035,0.9590,0.0049,0.1305,0.0035,0.9647,0.0050,0.3033,0.0035,0.9586,0.0049,0.1663,0.0058,0.9611,0.0058,0.1618,0.0060,0.9624,0.0051,0.1618,0.0060,0.9624,0.0051,0.2900,0.0037,0.9595,0.0049,0.3048,0.0036,0.9588,0.0050,0.0421,0.4806,0.6172,0.0167,0.0181,0.0178,0.0202,0.0251,0.0248,0.0438,0.0467
7,0.2789,0.0034,0.9598,0.0047,0.1256,0.0036,0.9648,0.0045,0.2894,0.0034,0.9594,0.0049,0.1575,0.0055,0.9621,0.0054,0.1569,0.0058,0.9620,0.0057,0.1570,0.0058,0.9620,0.0057,0.2774,0.0036,0.9600,0.0048,0.2895,0.0035,0.9596,0.0047,0.0414,0.4892,0.5925,0.0166,0.0177,0.0183,0.0205,0.0230,0.0273,0.0360,0.0502
8,0.2656,0.0034,0.9605,0.0046,0.1215,0.0036,0.9645,0.0045,0.2786,0.0034,0.9599,0.0047,0.1501,0.0052,0.9631,0.0047,0.1528,0.0056,0.9627,0.0052,0.1528,0.0056,0.9627,0.0052,0.2671,0.0036,0.9605,0.0046,0.2769,0.0035,0.9600,0.0049,0.0408,0.4958,0.5736,0.0170,0.0197,0.0195,0.0246,0.0225,0.0235,0.0357,0.0430
9,0.2544,0.0033,0.9605,0.0044,0.1182,0.0037,0.9649,0.0044,0.2702,0.0034,0.9604,0.0046,0.1439,0.0050,0.9634,0.0050,0.1493,0.0054,0.9634,0.0053,0.1493,0.0054,0.9633,0.0052,0.2584,0.0036,0.9605,0.0044,0.2662,0.0034,0.9606,0.0046,0.0403,0.5024,0.5537,0.0212,0.0205,0.0195,0.0207,0.0227,0.0262,0.0450,0.0461
10,0.2448,0.0033,0.9608,0.0044,0.1154,0.0037,0.9651,0.0045,0.2635,0.0034,0.9605,0.0046,0.1385,0.0048,0.9639,0.0049,0.1462,0.0053,0.9634,0.0053,0.1462,0.0053,0.9635,0.0053,0.2509,0.0036,0.9607,0.0046,0.2571,0.0034,0.9607,0.0045,0.0398,0.5089,0.5330,0.0222,0.0207,0.0190,0.0198,0.0261,0.0251,0.0389,0.0446
