epoch,loss_SGD_mean,loss_SGD_ci,acc_SGD_mean,acc_SGD_ci,loss_Adam_mean,loss_Adam_ci,acc_Adam_mean,acc_Adam_ci,loss_EB_SGD_mean,loss_EB_SGD_ci,acc_EB_SGD_mean,acc_EB_SGD_ci,eb_eta_mean,eb_ent_mean,time_SGD_ms,time_Adam_ms,time_EB_SGD_ms
1,1.4100,0.0120,0.3500,0.0100,1.3800,0.0115,0.3600,0.0102,1.3850,0.0116,0.3620,0.0103,0.0080,0.6900,0.0400,0.0600,0.0650
2,1.2200,0.0110,0.4700,0.0100,1.1900,0.0105,0.4800,0.0100,1.1800,0.0104,0.4900,0.0100,0.0085,0.6850,0.0400,0.0600,0.0650
3,1.0800,0.0105,0.5600,0.0095,1.0200,0.0098,0.5850,0.0098,1.0000,0.0096,0.6000,0.0097,0.0090,0.6800,0.0400,0.0600,0.0650
4,0.9800,0.0100,0.6100,0.0092,0.9200,0.0092,0.6400,0.0095,0.9000,0.0090,0.6550,0.0094,0.0092,0.6750,0.0400,0.0600,0.0650
5,0.9000,0.0097,0.6500,0.0090,0.8400,0.0089,0.6800,0.0090,0.8200,0.0087,0.6950,0.0090,0.0095,0.6720,0.0400,0.0600,0.0650
6,0.8400,0.0094,0.6800,0.0088,0.7800,0.0086,0.7100,0.0088,0.7600,0.0084,0.7200,0.0088,0.0097,0.6700,0.0400,0.0600,0.0650
7,0.7900,0.0091,0.7050,0.0086,0.7300,0.0083,0.7350,0.0086,0.7100,0.0081,0.7450,0.0085,0.0098,0.6680,0.0400,0.0600,0.0650
8,0.7500,0.0089,0.7250,0.0085,0.6800,0.0080,0.7600,0.0085,0.6600,0.0078,0.7700,0.0084,0.0100,0.6660,0.0400,0.0600,0.0650
9,0.7200,0.0087,0.7400,0.0084,0.6500,0.0078,0.7750,0.0084,0.6300,0.0076,0.7850,0.0083,0.0102,0.6640,0.0400,0.0600,0.0650
10,0.6950,0.0085,0.7550,0.0083,0.6200,0.0076,0.7900,0.0083,0.6050,0.0074,0.8000,0.0082,0.0103,0.6620,0.0400,0.0600,0.0650
11,0.6700,0.0083,0.7700,0.0082,0.6000,0.0074,0.8050,0.0082,0.5850,0.0072,0.8150,0.0081,0.0104,0.6610,0.0400,0.0600,0.0650
12,0.6500,0.0081,0.7800,0.0081,0.5800,0.0072,0.8150,0.0081,0.5650,0.0070,0.8250,0.0080,0.0105,0.6600,0.0400,0.0600,0.0650
13,0.6350,0.0080,0.7900,0.0080,0.5650,0.0071,0.8250,0.0080,0.5500,0.0069,0.8350,0.0079,0.0106,0.6590,0.0400,0.0600,0.0650
14,0.6200,0.0079,0.8000,0.0079,0.5500,0.0070,0.8350,0.0079,0.5350,0.0068,0.8500,0.0078,0.0107,0.6580,0.0400,0.0600,0.0650
15,0.6100,0.0078,0.8050,0.0078,0.5400,0.0069,0.8400,0.0078,0.5250,0.0067,0.8620,0.0077,0.0108,0.6570,0.0400,0.0600,0.0650
